Benchmark,Size_Before,Size_After,Haploid_Time,Z3_Time_Before,Z3_Time_After,Z3_Speedup
/QF_BV/bruttomesso/core/ext_con_044_001_0032.smt2,8781,8781,0.02973814867436886,0.002466264646500349,0.0025348379276692867,0.07641885385174102
/QF_BV/bruttomesso/core/ext_con_060_032_0512.smt2,334220,333860,0.343394641764462,0.0025647790171205997,0.002638561651110649,0.007411944841722019
/QF_BV/bruttomesso/core/ext_con_064_002_1024.smt2,25132,25106,0.12057639006525278,0.0029434841126203537,0.002899511717259884,0.023838531001821976
/QF_BV/bruttomesso/core/ext_con_012_004_0016.smt2,8547,8408,0.0348482271656394,0.0025495379231870174,0.0025302176363766193,0.0682087747815957
/QF_BV/bruttomesso/core/ext_con_056_016_0064.smt2,149820,149484,0.15627965983003378,0.002569139003753662,0.002472075168043375,0.016183375909465055
/QF_BV/bruttomesso/core/ext_con_052_008_0512.smt2,73441,75011,0.10889831790700555,0.0024293242022395134,0.0024485336616635323,0.0218176281413877
/QF_BV/bruttomesso/core/ext_con_048_008_0512.smt2,67849,69363,0.1018311851657927,0.0026523428969085217,0.00291006313636899,0.025322811594310372
/QF_BV/bruttomesso/core/ext_con_032_008_1024.smt2,45774,44574,0.12718358542770147,0.0023938328959047794,0.0024609346874058247,0.018464589893806314
/QF_BV/bruttomesso/core/ext_con_004_004_1024.smt2,3478,3446,0.032017508056014776,0.0024591353721916676,0.002461134921759367,0.07132343850588586
/QF_BV/bruttomesso/core/ext_con_060_064_1024.smt2,672907,672547,0.8084742468781769,0.002404572907835245,0.0023942328989505768,0.0029654290033522546
/QF_BV/bruttomesso/core/ext_con_036_001_1024.smt2,7642,7642,0.04099192377179861,0.0024455548264086246,0.0024935570545494556,0.05623842211092331
/QF_BV/bruttomesso/core/ext_con_052_001_0016.smt2,10117,10117,0.036010852083563805,0.002423733938485384,0.0024751853197813034,0.06297696780481535
/QF_BV/bruttomesso/core/ext_con_036_008_0512.smt2,51073,49761,0.10169101972132921,0.0024102833122015,0.002438634168356657,0.0231469444309777
/QF_BV/bruttomesso/core/ext_con_064_004_1024.smt2,46953,46105,0.15729480981826782,0.0024000629782676697,0.0029793246649205685,0.014974736790853918
/QF_BV/bruttomesso/core/ext_con_032_002_0016.smt2,11898,11865,0.042356578167527914,0.0025308579206466675,0.0026083411648869514,0.05628516537384715
/QF_BV/bruttomesso/core/ext_con_044_001_0256.smt2,9138,9138,0.030029151123017073,0.0024514952674508095,0.0025705290026962757,0.07519997920216298
/QF_BV/bruttomesso/core/ext_con_056_002_1024.smt2,22036,21954,0.06523180101066828,0.0024344539269804955,0.0025407481007277966,0.03592094378771327
/QF_BV/bruttomesso/core/ext_con_008_002_0128.smt2,3340,3348,0.0408893208950758,0.0024571246467530727,0.00254612835124135,0.05656956908213422
/QF_BV/bruttomesso/core/ext_con_056_001_0128.smt2,11269,11269,0.039025607984513044,0.0025205765850842,0.0025396980345249176,0.06064135757667012
/QF_BV/bruttomesso/core/ext_con_008_004_0128.smt2,6088,6024,0.036516192369163036,0.00248622614890337,0.0024725659750401974,0.0637677693389027
/QF_BV/bruttomesso/core/ext_con_028_002_1024.smt2,11200,11169,0.03819269593805075,0.002612330950796604,0.0027013341896235943,0.0638804965575832
/QF_BV/bruttomesso/core/ext_con_036_001_0016.smt2,7093,7093,0.04098548414185643,0.0024125040508806705,0.002835500054061413,0.05505362545247005
/QF_BV/bruttomesso/core/ext_con_064_002_0128.smt2,24163,24137,0.11827371129766107,0.0028202086687088013,0.0028847907669842243,0.023277018291329252
/QF_BV/bruttomesso/core/ext_con_020_008_0032.smt2,27261,26465,0.10156132467091084,0.0026758830063045025,0.0028599509969353676,0.02562584099064469
/QF_BV/bruttomesso/core/ext_con_056_256_1024.smt2,2544203,2543867,26.627342169173062,0.002875681035220623,0.0028080991469323635,0.000107985910941014
